"","nests","grass","soil","angle","distance"
"1",16,45,39.2,38,3
"2",15,65,47,36,12
"3",10,40,24.3,14,18
"4",7,20,30,16,21
"5",11,40,47.6,6,27
"6",7,80,47.6,9,36
"7",4,80,45.6,7,39
"11",15,40,34.9,31,3
"12",21,60,45.2,37,12
"13",12,95,32.9,24,18
"14",8,50,26.6,11,24
"15",9,80,32.7,10,30
"16",6,80,38.1,5,36
"20",16,60,37.1,35,6
"21",25,60,47.1,35,12
"22",13,85,34,23,18
"23",13,90,43.6,12,21
"24",11,20,30.8,9,27
"25",3,85,34.6,6,33
"29",18,40,32.1,36,6
"30",19,40,35.4,37,9
"31",8,90,30.2,11,18
"32",12,80,33.9,9,24
"33",10,80,40.2,11,30
"34",3,75,33.5,7,36
